Transaction ID,Date,Product Category,Product Name,Color,Units Sold,Unit Price,Total Revenue,Region,Payment Method
1001,2024-01-01,Lower Wear,Cargo Shorts,Khaki,2,1299,2598,Bangalore,Debit Card
1002,2024-01-01,Lower Wear,Cargo Shorts,Black,1,1299,1299,Bangalore,Credit Card
1003,2024-01-01,Upper Wear,Denim Jacket,Black,2,4999,9998,Bangalore,Debit Card
1004,2024-01-01,Lower Wear,Chino Pants,Beige,3,1999,5997,Bangalore,Credit Card
1005,2024-01-01,Lower Wear,Chino Pants,Beige,3,1999,5997,Bangalore,UPI
1006,2024-01-01,Lower Wear,Cargo Shorts,Black,2,1299,2598,Bangalore,UPI
1007,2024-01-01,Lower Wear,Slim Jeans,Dark Blue,1,2999,2999,Bangalore,Credit Card
1008,2024-01-01,Upper Wear,Hooded Sweatshirt,Black,3,2499,7497,Bangalore,UPI
1009,2024-01-01,Upper Wear,Casual Shirt,Grey,2,1499,2998,Bangalore,Debit Card
1010,2024-01-01,Upper Wear,Denim Jacket,Indigo,3,4999,14997,Bangalore,Debit Card
1011,2024-01-01,Lower Wear,Cargo Shorts,Black,2,1299,2598,Bangalore,Credit Card
1012,2024-01-01,Upper Wear,Casual Shirt,Blue,2,1499,2998,Bangalore,Credit Card
1013,2024-01-01,Lower Wear,Cargo Shorts,Khaki,3,1299,3897,Mumbai,UPI
1014,2024-01-01,Lower Wear,Cargo Shorts,Black,1,1299,1299,Mumbai,Credit Card
1015,2024-01-01,Lower Wear,Cargo Shorts,Khaki,3,1299,3897,Mumbai,UPI
1016,2024-01-01,Lower Wear,Cargo Shorts,Black,3,1299,3897,Mumbai,UPI
1017,2024-01-01,Lower Wear,Cargo Shorts,Black,1,1299,1299,Mumbai,Debit Card
1018,2024-01-01,Upper Wear,Casual Shirt,Blue,3,1499,4497,Mumbai,Debit Card
1019,2024-01-01,Lower Wear,Chino Pants,Olive,1,1999,1999,Mumbai,Credit Card
1020,2024-01-01,Lower Wear,Slim Jeans,Light Blue,3,2999,8997,Mumbai,Credit Card
1021,2024-01-01,Lower Wear,Jogger Pants,Navy,3,1799,5397,Mumbai,Debit Card
1022,2024-01-01,Lower Wear,Jogger Pants,Navy,1,1799,1799,Mumbai,Credit Card
1023,2024-01-01,Lower Wear,Cargo Shorts,Khaki,3,1299,3897,Mumbai,Credit Card
1024,2024-01-01,Upper Wear,Denim Jacket,Black,1,4999,4999,Mumbai,Credit Card
1025,2024-01-01,Lower Wear,Chino Pants,Beige,1,1999,1999,Delhi,UPI
1026,2024-01-01,Upper Wear,Hooded Sweatshirt,Black,3,2499,7497,Delhi,UPI
1027,2024-01-01,Upper Wear,Denim Jacket,Indigo,3,4999,14997,Delhi,UPI
1028,2024-01-01,Lower Wear,Slim Jeans,Dark Blue,1,2999,2999,Delhi,UPI
1029,2024-01-01,Lower Wear,Cargo Shorts,Khaki,1,1299,1299,Delhi,UPI
1030,2024-01-01,Upper Wear,Casual Shirt,Blue,3,1499,4497,Delhi,Debit Card
1031,2024-01-01,Lower Wear,Cargo Shorts,Black,3,1299,3897,Delhi,UPI
