Date,Product Name,Product Category,Units Sold,Unit Price,Total Revenue,Region,Transaction ID
2024-09-01,Oversized Cotton Tee,Men · Topwear,13,349,4537,Bengaluru,T20240901-BEN
2024-09-01,Linen Blend Casual Shirt,Men · Topwear,5,999,4995,Bengaluru,T20240901-BEN
2024-09-01,Zip-Up Hoodie,Men · Topwear,4,1299,5196,Bengaluru,T20240901-BEN
2024-09-01,Pique Polo T-Shirt,Men · Topwear,8,599,4792,Bengaluru,T20240901-BEN
2024-09-01,Slim Fit Chinos,Men · Bottomwear,5,1199,5995,Bengaluru,T20240901-BEN
2024-09-01,Straight Fit Denim Jeans,Men · Bottomwear,3,1499,4497,Bengaluru,T20240901-BEN
2024-09-01,Cargo Joggers,Men · Bottomwear,3,899,2697,Bengaluru,T20240901-BEN
2024-09-01,Rayon Crop Top,Women · Topwear,12,399,4788,Bengaluru,T20240901-BEN
2024-09-01,Printed A-Line Kurti,Women · Topwear,12,799,9588,Bengaluru,T20240901-BEN
2024-09-01,Ribbed Knit Top,Women · Topwear,6,549,3294,Bengaluru,T20240901-BEN
2024-09-01,Oversized Sweatshirt,Women · Topwear,5,1099,5495,Bengaluru,T20240901-BEN
2024-09-01,High-Rise Skinny Jeans,Women · Bottomwear,8,1399,11192,Bengaluru,T20240901-BEN
2024-09-01,Flowy Palazzo Pants,Women · Bottomwear,8,699,5592,Bengaluru,T20240901-BEN
2024-09-01,Pleated Midi Skirt,Women · Bottomwear,6,899,5394,Bengaluru,T20240901-BEN
2024-09-01,Puffer Jacket,Outerwear,5,2499,12495,Bengaluru,T20240901-BEN
2024-09-01,Denim Jacket,Outerwear,1,1799,1799,Bengaluru,T20240901-BEN
2024-09-01,Anarkali Kurta Set,Ethnic & Occasion,6,1999,11994,Bengaluru,T20240901-BEN
2024-09-01,Cotton Handloom Saree,Ethnic & Occasion,6,1599,9594,Bengaluru,T20240901-BEN
2024-09-01,Nehru Jacket,Ethnic & Occasion,1,1499,1499,Bengaluru,T20240901-BEN
2024-09-01,Embroidered Sherwani,Ethnic & Occasion,2,3499,6998,Bengaluru,T20240901-BEN
2024-09-01,Oversized Cotton Tee,Men · Topwear,13,349,4537,Mumbai,T20240901-MUM
2024-09-01,Linen Blend Casual Shirt,Men · Topwear,13,999,12987,Mumbai,T20240901-MUM
2024-09-01,Zip-Up Hoodie,Men · Topwear,4,1299,5196,Mumbai,T20240901-MUM
2024-09-01,Pique Polo T-Shirt,Men · Topwear,17,599,10183,Mumbai,T20240901-MUM
2024-09-01,Slim Fit Chinos,Men · Bottomwear,11,1199,13189,Mumbai,T20240901-MUM
2024-09-01,Straight Fit Denim Jeans,Men · Bottomwear,9,1499,13491,Mumbai,T20240901-MUM
2024-09-01,Cargo Joggers,Men · Bottomwear,7,899,6293,Mumbai,T20240901-MUM
2024-09-01,Rayon Crop Top,Women · Topwear,13,399,5187,Mumbai,T20240901-MUM
2024-09-01,Printed A-Line Kurti,Women · Topwear,5,799,3995,Mumbai,T20240901-MUM
