Transaction ID,Date,Product Category,Product Name,Color,Units Sold,Unit Price,Total Revenue,Region
489434,2009-12-01,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,24,1.25,30.0,United Kingdom
489436,2009-12-01,Uncategorised,Love Building Block Word,Unspecified,18,5.45,98.1,United Kingdom
489436,2009-12-01,Uncategorised,Home Building Block Word,Unspecified,3,5.95,17.85,United Kingdom
489436,2009-12-01,Home Decor,Assorted Colour Bird Ornament,Unspecified,16,1.69,27.04,United Kingdom
489437,2009-12-01,Home Decor,Hanging Heart Zinc T-Light Holder,Unspecified,12,0.85,10.2,United Kingdom
489439,2009-12-01,Home Decor,Red Toadstool Led Night Light,Red,24,1.65,39.6,France
489442,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,6,2.95,17.7,United Kingdom
489442,2009-12-01,Stationery & Craft,Vintage Snap Cards,Unspecified,12,0.85,10.2,United Kingdom
489443,2009-12-01,Home Decor,Bathroom Metal Sign,Unspecified,12,0.55,6.6,United Kingdom
489445,2009-12-01,Bags & Storage,Jumbo Bag Pink Vintage Paisley,Pink,10,1.95,19.5,United Kingdom
489446,2009-12-01,Home Decor,Red Hanging Heart T-Light Holder,Red,32,2.55,81.6,United Kingdom
489446,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,32,2.55,81.6,United Kingdom
489446,2009-12-01,Home Decor,Victorian Glass Hanging T-Light,Unspecified,12,1.25,15.0,United Kingdom
489446,2009-12-01,Bags & Storage,Jumbo Bag Pink Vintage Paisley,Pink,10,1.95,19.5,United Kingdom
489446,2009-12-01,Bags & Storage,Lunch Bag Cars Blue,Blue,10,1.65,16.5,United Kingdom
489446,2009-12-01,Bags & Storage,Lunch Bag Woodland,Unspecified,10,1.65,16.5,United Kingdom
489450,2009-12-01,Home Decor,Hanging Heart Zinc T-Light Holder,Unspecified,24,0.85,20.4,Australia
489460,2009-12-01,Kitchen & Dining,Pack Of 60 Pink Paisley Cake Cases,Pink,24,0.55,13.2,United Kingdom
489460,2009-12-01,Kitchen & Dining,60 Teatime Fairy Cake Cases,Unspecified,24,0.55,13.2,United Kingdom
489460,2009-12-01,Home Decor,Red Toadstool Led Night Light,Red,12,1.65,19.8,United Kingdom
489461,2009-12-01,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,48,1.25,60.0,United Kingdom
489461,2009-12-01,Home Decor,Wooden Frame Antique White,White,6,2.95,17.7,United Kingdom
489461,2009-12-01,Kitchen & Dining,60 Teatime Fairy Cake Cases,Unspecified,24,0.55,13.2,United Kingdom
489465,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,64,2.55,163.2,United Kingdom
489465,2009-12-01,Home Decor,Red Hanging Heart T-Light Holder,Red,20,2.95,59.0,United Kingdom
489465,2009-12-01,Home Decor,Assorted Colour Bird Ornament,Unspecified,160,1.45,232.0,United Kingdom
489505,2009-12-01,Bags & Storage,Jumbo Bag Pink Vintage Paisley,Pink,10,1.95,19.5,United Kingdom
489514,2009-12-01,Bags & Storage,Woodland Charlotte Bag,Unspecified,3,0.85,2.55,United Kingdom
489517,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,1,2.95,2.95,United Kingdom
489517,2009-12-01,Stationery & Craft,Vintage Snap Cards,Unspecified,4,0.85,3.4,United Kingdom
489517,2009-12-01,Bags & Storage,Jumbo Storage Bag Suki,Unspecified,1,1.95,1.95,United Kingdom
489517,2009-12-01,Stationery & Craft,Vintage Snap Cards,Unspecified,1,0.85,0.85,United Kingdom
489519,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,32,2.55,81.6,United Kingdom
489520,2009-12-01,Uncategorised,Home Building Block Word,Unspecified,6,5.95,35.7,EIRE
489520,2009-12-01,Home Decor,Zinc Metal Heart Decoration,Unspecified,12,1.25,15.0,EIRE
489522,2009-12-01,Uncategorised,Love Building Block Word,Unspecified,1,5.95,5.95,United Kingdom
489522,2009-12-01,Home Decor,Assorted Colour Bird Ornament,Unspecified,8,1.69,13.52,United Kingdom
489523,2009-12-01,Home Decor,Assorted Colour Bird Ornament,Unspecified,800,1.45,1160.0,United Kingdom
489526,2009-12-01,Home Decor,Red Hanging Heart T-Light Holder,Red,6,2.95,17.7,Germany
489526,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,6,2.95,17.7,Germany
489526,2009-12-01,Home Decor,Zinc Metal Heart Decoration,Unspecified,24,1.25,30.0,Germany
489526,2009-12-01,Home Decor,Red Toadstool Led Night Light,Red,12,1.65,19.8,Germany
489531,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,5,2.95,14.75,United Kingdom
489531,2009-12-01,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,1,0.95,0.95,United Kingdom
489533,2009-12-01,Home Decor,Zinc Metal Heart Decoration,Unspecified,12,1.25,15.0,United Kingdom
489533,2009-12-01,Uncategorised,Home Building Block Word,Unspecified,2,5.95,11.9,United Kingdom
489533,2009-12-01,Home Decor,Hanging Heart Zinc T-Light Holder,Unspecified,12,0.85,10.2,United Kingdom
489533,2009-12-01,Uncategorised,Love Building Block Word,Unspecified,2,5.95,11.9,United Kingdom
489536,2009-12-01,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,1,0.95,0.95,United Kingdom
489536,2009-12-01,Bags & Storage,Lunch Bag Cars Blue,Blue,4,1.65,6.6,United Kingdom
489536,2009-12-01,Bags & Storage,Jumbo Storage Bag Suki,Unspecified,5,1.95,9.75,United Kingdom
489536,2009-12-01,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,3,1.25,3.75,United Kingdom
489536,2009-12-01,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,1,0.95,0.95,United Kingdom
489536,2009-12-01,Bags & Storage,Lunch Bag  Black Skull.,Black,3,1.65,4.95,United Kingdom
489537,2009-12-01,Home Decor,Red Hanging Heart T-Light Holder,Red,10,2.95,29.5,United Kingdom
489537,2009-12-01,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,20,1.25,25.0,United Kingdom
489537,2009-12-01,Stationery & Craft,Vintage Snap Cards,Unspecified,11,0.85,9.35,United Kingdom
489539,2009-12-01,Home Decor,Assorted Colour Bird Ornament,Unspecified,96,1.69,162.24,United Kingdom
489540,2009-12-01,Uncategorised,Home Building Block Word,Unspecified,24,5.45,130.8,United Kingdom
489546,2009-12-01,Bags & Storage,Strawberry Ceramic Trinket Box,Unspecified,12,1.25,15.0,EIRE
489546,2009-12-01,Home Decor,Wooden Frame Antique White,White,6,2.95,17.7,EIRE
489547,2009-12-01,Bags & Storage,Jumbo  Bag Baroque Black White,Black,10,1.95,19.5,United Kingdom
489547,2009-12-01,Bags & Storage,Woodland Charlotte Bag,Unspecified,10,0.85,8.5,United Kingdom
489547,2009-12-01,Bags & Storage,Lunch Bag  Black Skull.,Black,10,1.65,16.5,United Kingdom
489547,2009-12-01,Bags & Storage,Lunch Bag Woodland,Unspecified,10,1.65,16.5,United Kingdom
489548,2009-12-01,Uncategorised,Rex Cash+Carry Jumbo Shopper,Unspecified,3,0.95,2.85,United Kingdom
489550,2009-12-01,Kitchen & Dining,Pack Of 60 Pink Paisley Cake Cases,Pink,48,0.55,26.4,EIRE
489550,2009-12-01,Kitchen & Dining,60 Teatime Fairy Cake Cases,Unspecified,48,0.55,26.4,EIRE
489556,2009-12-01,Home Decor,White Hanging Heart T-Light Holder,White,3,2.95,8.85,United Kingdom
489557,2009-12-01,Home Decor,Red Toadstool Led Night Light,Red,24,1.65,39.6,France
